Livro,Preco,Disponivel,Quantidade,Avaliacao,Categoria,UCP
A Light in the Attic,51.77,True,22,3,Poetry,a897fe39b1053632
Rip it Up and Start Again,35.02,True,19,5,Music,a34ba96d4081e6a4
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,True,19,5,Sequential Art,3b1c02bac2a429e6
Set Me Free,17.46,True,19,5,Young Adult,ce6396b0f23f6ecc
The Dirty Little Secrets of Getting Your Dream Job,33.34,True,19,4,Business,2597b5a345f45e1b
Sapiens: A Brief History of Humankind,54.23,True,20,5,History,4165285e1663650f
Sharp Objects,47.82,True,20,4,Mystery,e00eb4fd7b871a48
Tipping the Velvet,53.74,True,20,1,Historical Fiction,90fa61229261140a
The Requiem Red,22.65,True,19,1,Young Adult,f77dbf2323deb740
Soumission,50.10,True,20,1,Fiction,6957f44c3847a760
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,True,19,3,Default,e72a5dfc7e9267b2
Shakespeare's Sonnets,20.66,True,19,4,Poetry,30a7f60cd76ca58c
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.60,True,19,4,Default,e10e1e165dc8be4a
The Black Maria,52.15,True,19,1,Poetry,1dfe412b8ac00530
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,True,19,2,Default,0312262ecafa5a40
Libertarianism for Beginners,51.33,True,19,2,Politics,a18a4f574854aced
It's Only the Himalayas,45.17,True,19,2,Travel,a22124811bfa8350
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,True,19,1,Science Fiction,e30f54cea9b38190
Olio,23.88,True,19,1,Poetry,feb7cc7701ecf901
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,True,19,3,Music,deda3e61b9514b83
In Her Wake,12.84,True,19,1,Thriller,23356462d1320d61
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.30,True,18,5,Nonfiction,4c28def39d850cdf
Black Dust,34.53,True,19,5,Romance,00bfed9e18bb36f3
Aladdin and His Wonderful Lamp,53.13,True,19,3,Default,904208d6aa64b655
Chase Me (Paris Nights #2),25.27,True,19,5,Romance,c2e46a2ee3b4a322
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,True,19,3,Food and Drink,5674a18a29a43ced
Birdsong: A Story in Pictures,54.64,True,19,3,Childrens,9528d0948525bf5f
How Music Works,37.32,True,19,2,Music,327f68a59745c102
Maude (1883-1993):She Grew Up with the country,18.02,True,18,2,Default,094b269567e1c300
The Bear and the Piano,36.89,True,18,1,Childrens,9f6568e9c95f60b0
Penny Maybe,33.29,True,18,3,Default,668fe56b17cfcd4f
The Elephant Tree,23.82,True,18,5,Thriller,5dada2b7be26bd03
Sophie's World,15.94,True,18,5,Philosophy,6be3beb0793a53e7
The Four Agreements: A Practical Guide to Personal Freedom,17.66,True,18,5,Spirituality,6258a1f6a6dcfe50
You can't bury them all: Poems,33.63,True,17,2,Poetry,55f9da0c5eea2e10
Behind Closed Doors,52.22,True,18,4,Thriller,be5cc846f45496fb
